Year,Annual CO₂ emissions,GDP (constant 2015 US$)
1990,51344710,20567069389
1991,50074016,20423099867
1992,56174400,15807479230
1993,48406096,12155951731
1994,41944856,9761229089
1995,33309350,8609404144
1996,31242310,8721326346
1997,29842898,9227163287
1998,31784872,10149879580
1999,28821594,10900970801
2000,29765310,12110978466
2001,28415460,13309965318
2002,28570334,14566281800
2003,30487584,16053251458
2004,32253040,17538787530
2005,34193560,22442902288
2006,34521828,30178120037
2007,30036786,37862439845
2008,33036510,41872616483
2009,29102576,45795872374
2010,27549052,47988959989
2011,30210230,47234094919
2012,32770066,48274633178
2013,33558890,51095520771
2014,34344760,52524961506
2015,34683330,53076235355
2016,34726970,51450192646
2017,34698280,51529227685
2018,34576230,52302373079
2019,37752550,53599371925
2020,36237164,51348755387
2021,38299644,54232727564
2022,41174576,56789627304
2023,42748196,57558830023
2024,39830140,59902281408
