Year,Hydropower (thousand MWh),Biomass (thousand MWh),Wind (thousand MWh),Solar (thousand MWh),Total Renewables (thousand MWh),Renewables share (%)
2007,203.3,88,0,0,291.3,2.2
2008,192,85.5,0,0,277.5,1.9
2009,198.5,73.3,0.2,0,272,2.1
2010,296.4,90.2,0,0,386.6,3.1
2011,230.1,96.6,0,0,326.7,2.4
2012,156.6,98.4,0,0,255,1.8
2013,128.1,157.1,0.1,0.1,285.4,2
2014,111.8,158.9,0.2,0.2,271.1,1.8
2015,140.8,160.7,0.4,0.4,302.3,1.9
2016,168.5,100.8,2,3,274.3,1.8
2017,150.2,102.4,1.9,3.2,257.7,1.7
2018,152,110.7,7.1,3.4,273.2,1.8
2019,134.6,115.9,9.1,3.8,263.4,1.6
2020,92,108.4,8.3,4,212.7,1.3
2021,109.8,102.6,7.9,4.8,225.1,1.3
2022,137.2,96.1,7.2,5.2,245.7,1.3
2023,151.6,97.9,4.8,6.9,261.2,1.4
2024,258.7,101.2,4.4,47.9,412.2,2.2
