Year,Renewable_share,Predicted_share
2000,0.09340558972173166,0.12796478096965408
2001,0.07614421163525684,0.1224503963000525
2002,0.12379726665440981,0.1295629266194921
2003,0.1341337534633563,0.11224536543251995
2004,0.14534423634924806,0.10804537496712718
2005,0.15012722646310442,0.10466854782314516
2006,0.1162779958439158,0.10139037815594631
2007,0.13006711778621316,0.13998241294755653
2008,0.1248227465891299,0.14263133431231478
2009,0.15937577596909955,0.1691754144240113
2010,0.23744248519079805,0.16823274652752596
2011,0.17105599590897472,0.15365604605147243
2012,0.09544573135579879,0.12424839857728787
2013,0.08253742704897227,0.11938076301595835
2014,0.07041666666666663,0.1075539588974529
2015,0.08440956513710658,0.09940416504478522
2016,0.1013788159111933,0.09350973604242807
2017,0.09456355283307823,0.0954202991670342
2018,0.09458886430678486,0.08770177648195476
2019,0.08492864446716747,0.08085123801074168
2020,0.06203142832060403,0.07322974442470953
2021,0.0667671345995046,0.06559934764828035
2022,0.08107026756689169,0.07059087782755136
2023,0.0883123907797287,0.07094886089867103
