year,oil_production_crude_and_condensate_kt,gas_production_total_million_m3,gas_production_associated_million_m3,gas_production_natural_million_m3,total_energy_supply_ktoe,renewables_total_ktoe,hydro_ktoe,hydro_share_pct,biomass_and_waste_ktoe,biomass_and_waste_share_pct,wind_power_ktoe,wind_power_share_pct,solar_power_ktoe,solar_power_share_pct,renewables_share_pct
1990,12513,9926,2123,7803,,0,0,0,0,0,0,0,0,0,0
1991,11742,8621,1497,7124,,0,0,0,0,0,0,0,0,0,0
1992,11084,7872,1371,6501,,0,0,0,0,0,0,0,0,0,0
1993,10295,6805,1109,5696,,0,0,0,0,0,0,0,0,0,0
1994,9563,6379,1382,4996,,0,0,0,0,0,0,0,0,0,0
1995,9161,6644,2145,4499,,0,0,0,0,0,0,0,0,0,0
1996,9100,6305,2076,4229,,0,0,0,0,0,0,0,0,0,0
1997,9071,5964,2008,3956,,0,0,0,0,0,0,0,0,0,0
1998,11424,5589,2334,3255,,0,0,0,0,0,0,0,0,0,0
1999,13807,5997,3062,2935,,0,0,0,0,0,0,0,0,0,0
2000,14017,5642,2859,2783,,0,0,0,0,0,0,0,0,0,0
2001,14909,5535,3165,2370,,0,0,0,0,0,0,0,0,0,0
2002,15334,5144,3118,2025,,0,0,0,0,0,0,0,0,0,0
2003,15381,5128,3170,1958,,0,0,0,0,0,0,0,0,0,0
2004,15549,4995,3051,1944,,0,0,0,0,0,0,0,0,0,0
2005,22214,5732,3855,1877,,0,0,0,0,0,0,0,0,0,0
2006,32268,9076,6727,2349,,0,0,0,0,0,0,0,0,0,0
2007,42598,16850,9593,7257,13104,291.3,203.3,1.5,88,0.7,0,0,0,0,2.2
2008,44514,23399,10588,12811,14495.4,277.5,192,1.3,85.5,0.6,0,0,0,0,1.9
2009,50416,23598,12080,11518,13011.5,272,198.5,1.5,73.3,0.6,0.2,0,0,0,2.1
2010,50838,26312,12370,13942,12566.5,386.6,296.4,2.4,90.2,0.7,0,0,0,0,3.1
2011,45626,26796,13579,13217,13594.9,326.7,230.1,1.7,96.6,0.7,0,0,0,0,2.4
2012,43375,29245,13945,15300,14390,255,156.6,1.1,98.4,0.7,0,0,0,0,1.8
2013,43457,29555,13945,15610,14630.6,285.4,128.1,0.9,157.1,1.1,0.1,0,0.1,0,2
2014,42076,29175,13663,15512,15085.5,271.1,111.8,0.7,158.9,1.1,0.2,0,0.2,0,1.8
2015,41628,29331,13952,15379,15569.4,302.3,140.8,0.9,160.7,1,0.4,0,0.4,0,1.9
2016,41050,28589,13118,15471,15419.9,274.3,168.5,1.1,100.8,0.7,2,0,3,0,1.8
2017,38688,28596,13905,14691,15506.8,257.7,150.2,1,102.4,0.7,1.9,0,3.2,0,1.7
2018,38814,30490,14046,16444,15590.7,273.2,152,1,110.7,0.7,7.1,0.1,3.4,0,1.8
2019,37501,35610,13578,22032,17085.6,263.4,134.6,0.8,115.9,0.7,9.1,0.1,3.8,0,1.6
2020,34532,37140,13232,23908,16642.8,212.7,92,0.5,108.4,0.7,8.3,0.1,4,0,1.3
2021,34580,43867,14912,28955,17566.6,225.1,109.8,0.6,102.6,0.6,7.9,0.1,4.8,0,1.3
2022,32646,46737,15424,31313,18655.4,245.7,137.2,0.7,96.1,0.5,7.2,0.1,5.2,0,1.3
2023,30147,48497,15086,33411,18850.2,261.2,151.6,0.8,97.9,0.5,4.8,0,6.9,0.1,1.4
2024,29052,50430,15098,35332,18480.8,412.2,258.7,1.4,101.2,0.5,4.4,0,47.9,0.3,2.2
