Month,United States,Japan,Germany,France,United Kingdom,Italy
2021-Jan,1.4,-0.7,1,0.6,0.7,0.4
2021-Feb,1.7,-0.5,1.3,0.6,0.4,0.6
2021-Mar,2.6,-0.4,1.7,1.1,0.7,0.8
2021-Apr,4.2,-1.1,2,1.2,1.5,1.1
2021-May,5,-0.8,2.5,1.4,2.1,1.3
2021-Jun,5.4,-0.5,2.3,1.5,2.5,1.3
2021-Jul,5.4,-0.3,3.8,1.2,2,1.9
2021-Aug,5.3,-0.4,3.9,1.9,3.2,2
2021-Sep,5.4,0.2,4.1,2.2,3.1,2.5
2021-Oct,6.2,0.1,4.5,2.6,4.2,3
2021-Nov,6.8,0.6,5.2,3,5.1,3.7
2021-Dec,7,0.8,5.3,2.8,5.4,3.9
2022-Jan,7.5,0.5,4.9,2.9,5.5,4.8
2022-Feb,7.9,0.9,5.1,3.6,6.2,5.7
2022-Mar,8.5,1.2,7.3,4.5,7,6.5
2022-Apr,8.3,2.5,7.4,4.8,9,6
2022-May,8.6,2.5,7.9,5.2,9.1,6.8
2022-Jun,9.1,2.4,7.6,5.8,9.4,8
2022-Jul,8.5,2.6,7.5,6.1,10.1,7.9
2022-Aug,8.3,3,7.9,5.9,9.9,8.4
2022-Sep,8.2,3,10,5.6,10.1,8.9
2022-Oct,7.7,3.7,10.4,6.2,11.1,11.8
2022-Nov,7.1,3.8,10,6.2,10.7,11.8
2022-Dec,6.5,4,8.6,5.9,10.5,11.6
2023-Jan,6.4,4.3,8.7,6,10.1,10
2023-Feb,6,3.3,8.7,6.3,10.4,9.1
2023-Mar,5,3.2,7.4,5.7,10.1,7.6
2023-Apr,4.9,3.5,7.2,5.9,8.7,8.2
2023-May,4,3.2,6.1,5.1,8.7,7.6
2023-Jun,3,3.3,6.4,4.5,7.9,6.4
2023-Jul,3.2,3.3,6.2,4.3,6.8,5.9
2023-Aug,3.7,3.3,6.1,4.9,6.7,5.4
2023-Sep,3.7,3,4.5,4.9,6.7,5.3
2023-Oct,3.2,-,3.8,4,4.7,1.7
2023-Nov,3.1,2.8,3.2,3.5,3.9,-0.4
2023-Dec,3.4,2.6,3.7,3.7,4,0.6
2024-Jan,3.1,2.2,2.9,3.1,4,0.9
2024-Feb,3.2,2.8,2.5,3,3.4,0.8
2024-Mar,3.5,2.7,2.2,2.3,3.2,1.2
2024-Apr,3.4,2.5,2.2,2.2,2.3,0.9
2024-May,3.3,2.8,2.4,2.3,2,0.8
2024-Jun,3,2.8,2.2,2.2,2,0.9
2024-Jul,2.9,2.8,2.3,2.3,2.2,1.6
2024-Aug,2.5,3,1.9,1.8,2.2,1.2
2024-Sep,2.4,2.5,1.6,1.2,1.7,0.7
2024-Oct,2.6,2.3,2,1.6,2.3,1
2024-Nov,2.7,2.9,2.2,1.3,2.6,1.5
2024-Dec,2.9,3.6,2.6,1.3,2.5,1.4
2025-Jan,3,4,2.3,1.7,3,1.7
2025-Feb,2.8,3.7,2.3,0.8,2.8,1.7
2025-Mar,2.4,3.6,2.2,0.8,2.6,2.1
2025-Apr,2.3,3.6,2.1,0.8,3.5,2
2025-May,2.4,3.5,2.1,0.7,3.4,1.7
2025-Jun,2.7,3.3,2,1,3.6,1.8
2025-Jul,2.7,3.1,2,1,3.8,1.7
2025-Aug,2.9,2.7,2.2,0.9,3.8,1.6
2025-Sep,3,2.9,2.4,1.2,3.8,1.8
