Country Name,Country Code,Indicator Name,Indicator Code,2023
Angola,AGO,Mobile cellular subscriptions,IT.CEL.SETS,25744000
Burundi,BDI,Mobile cellular subscriptions,IT.CEL.SETS,8646690
Benin,BEN,Mobile cellular subscriptions,IT.CEL.SETS,16373900
Burkina Faso,BFA,Mobile cellular subscriptions,IT.CEL.SETS,
Botswana,BWA,Mobile cellular subscriptions,IT.CEL.SETS,4440310
Central African Republic,CAF,Mobile cellular subscriptions,IT.CEL.SETS,
Cote d'Ivoire,CIV,Mobile cellular subscriptions,IT.CEL.SETS,53601500
Cameroon,CMR,Mobile cellular subscriptions,IT.CEL.SETS,27374500
"Congo, Dem. Rep.",COD,Mobile cellular subscriptions,IT.CEL.SETS,56268400
"Congo, Rep.",COG,Mobile cellular subscriptions,IT.CEL.SETS,5865800
Comoros,COM,Mobile cellular subscriptions,IT.CEL.SETS,934198
Cabo Verde,CPV,Mobile cellular subscriptions,IT.CEL.SETS,590354
Eritrea,ERI,Mobile cellular subscriptions,IT.CEL.SETS,
Ethiopia,ETH,Mobile cellular subscriptions,IT.CEL.SETS,
Gabon,GAB,Mobile cellular subscriptions,IT.CEL.SETS,3046520
Ghana,GHA,Mobile cellular subscriptions,IT.CEL.SETS,33384500
Guinea,GIN,Mobile cellular subscriptions,IT.CEL.SETS,
"Gambia, The",GMB,Mobile cellular subscriptions,IT.CEL.SETS,
Guinea-Bissau,GNB,Mobile cellular subscriptions,IT.CEL.SETS,2758650
Equatorial Guinea,GNQ,Mobile cellular subscriptions,IT.CEL.SETS,
Kenya,KEN,Mobile cellular subscriptions,IT.CEL.SETS,66745700
Liberia,LBR,Mobile cellular subscriptions,IT.CEL.SETS,
Lesotho,LSO,Mobile cellular subscriptions,IT.CEL.SETS,1603040
Madagascar,MDG,Mobile cellular subscriptions,IT.CEL.SETS,23539300
Mali,MLI,Mobile cellular subscriptions,IT.CEL.SETS,
Mozambique,MOZ,Mobile cellular subscriptions,IT.CEL.SETS,
Mauritania,MRT,Mobile cellular subscriptions,IT.CEL.SETS,4559000
Mauritius,MUS,Mobile cellular subscriptions,IT.CEL.SETS,2104700
Malawi,MWI,Mobile cellular subscriptions,IT.CEL.SETS,12892000
Namibia,NAM,Mobile cellular subscriptions,IT.CEL.SETS,2597930
Niger,NER,Mobile cellular subscriptions,IT.CEL.SETS,17196200
Nigeria,NGA,Mobile cellular subscriptions,IT.CEL.SETS,224413000
Rwanda,RWA,Mobile cellular subscriptions,IT.CEL.SETS,12763100
Sudan,SDN,Mobile cellular subscriptions,IT.CEL.SETS,
Senegal,SEN,Mobile cellular subscriptions,IT.CEL.SETS,22400200
Sierra Leone,SLE,Mobile cellular subscriptions,IT.CEL.SETS,
"Somalia, Fed. Rep.",SOM,Mobile cellular subscriptions,IT.CEL.SETS,9905940
South Sudan,SSD,Mobile cellular subscriptions,IT.CEL.SETS,5353000
Sao Tome and Principe,STP,Mobile cellular subscriptions,IT.CEL.SETS,146497
Eswatini,SWZ,Mobile cellular subscriptions,IT.CEL.SETS,1579960
Seychelles,SYC,Mobile cellular subscriptions,IT.CEL.SETS,236586
Chad,TCD,Mobile cellular subscriptions,IT.CEL.SETS,13559500
Togo,TGO,Mobile cellular subscriptions,IT.CEL.SETS,7051820
Tanzania,TZA,Mobile cellular subscriptions,IT.CEL.SETS,70215100
Uganda,UGA,Mobile cellular subscriptions,IT.CEL.SETS,37123400
South Africa,ZAF,Mobile cellular subscriptions,IT.CEL.SETS,108415000
Zambia,ZMB,Mobile cellular subscriptions,IT.CEL.SETS,21151200
Zimbabwe,ZWE,Mobile cellular subscriptions,IT.CEL.SETS,14973800
